Country Name,Country Code,Indicator Name,Indicator Code,1980 [YR1980],2008 [YR2008]
Albania,ALB,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,NA,481.3354845807
Albania,ALB,Import volume index (2000 = 100),TM.QTY.MRCH.XD.WD,NA,303.1253344806
Albania,ALB,Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,NA,NA
Albania,ALB,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,NA,2.78544861240075
Albania,ALB,Insurance and financial services (% of commercial service imports),TM.VAL.INSF.ZS.WT,NA,6.37035229565904
Albania,ALB,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,NA,24.4247839110768
Albania,ALB,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,NA,1644000000
Albania,ALB,"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,NA,89000000
Albania,ALB,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,NA,1555000000
Albania,ALB,"International tourism, number of arrivals",ST.INT.ARVL,NA,1420000
Albania,ALB,"International tourism, number of departures",ST.INT.DPRT,NA,3716000
Albania,ALB,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,NA,56.3713912956282
Albania,ALB,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,NA,1848000000
Albania,ALB,"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD,NA,135000000
Albania,ALB,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,NA,1713000000
Albania,ALB,Internationally-recognized quality certification (% of firms),IC.FRM.ISOC.ZS,NA,NA
Albania,ALB,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,NA,NA
Albania,ALB,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,NA,64000000
Albania,ALB,Investment in transport with private participation (current US$),IE.PPI.TRAN.CD,NA,NA
Albania,ALB,Investment in water and sanitation with private participation (current US$),IE.PPI.WATR.CD,NA,NA
Albania,ALB,Labor tax and contributions (% of commercial profits),IC.TAX.LABR.CP.ZS,NA,NA
Albania,ALB,"Lead time to export, median case (days)",LP.EXP.DURS.MD,NA,NA
Albania,ALB,"Lead time to import, median case (days)",LP.IMP.DURS.MD,NA,NA
Albania,ALB,Logistics performance index: Ability to track and trace consignments (1=low to 5=high),LP.LPI.TRAC.XQ,NA,NA
Albania,ALB,Logistics performance index: Competence and quality of logistics services (1=low to 5=high),LP.LPI.LOGS.XQ,NA,NA
Albania,ALB,Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),LP.LPI.ITRN.XQ,NA,NA
Albania,ALB,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),LP.LPI.CUST.XQ,NA,NA
Albania,ALB,Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),LP.LPI.TIME.XQ,NA,NA
Albania,ALB,Logistics performance index: Overall (1=low to 5=high),LP.LPI.OVRL.XQ,NA,NA
Albania,ALB,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,NA,NA
Albania,ALB,"Losses due to theft, robbery, vandalism, and arson (% sales)",IC.FRM.CRIM.ZS,NA,NA
Albania,ALB,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,NA,33.4127186259839
Albania,ALB,Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,NA,63.3563834448913
Albania,ALB,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,NA,1354830000
Albania,ALB,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,NA,1341832962
Albania,ALB,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,NA,6.55162114147931
Albania,ALB,Merchandise exports to developing economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,NA,2.78067697647898
Albania,ALB,Merchandise exports to developing economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,NA,9.72954847351559
Albania,ALB,Merchandise exports to developing economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,NA,0.0271680505853455
Albania,ALB,Merchandise exports to developing economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,NA,0.0928498737356997
Albania,ALB,Merchandise exports to developing economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,NA,0.00592700732969474
Albania,ALB,Merchandise exports to developing economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,NA,0.00627508864815023
Albania,ALB,Merchandise exports to developing economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,NA,2.91289699677761
Albania,ALB,Merchandise exports to developing economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS,NA,9.72954847351559
Albania,ALB,Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,NA,0.0778943630590288
Albania,ALB,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,NA,80.8059333882275
Albania,ALB,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,NA,5250600000
Albania,ALB,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,NA,5243412223
Albania,ALB,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,NA,0.638781098378655
Albania,ALB,Merchandise imports from developing economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS,NA,7.97356457067747
Albania,ALB,Merchandise imports from developing economies in Europe & Central Asia (% of total merchandise imports),TM.VAL.MRCH.R2.ZS,NA,18.882852037386
Albania,ALB,Merchandise imports from developing economies in Latin America & the Caribbean (% of total merchandise imports),TM.VAL.MRCH.R3.ZS,NA,2.1336664650217
Albania,ALB,Merchandise imports from developing economies in Middle East & North Africa (% of total merchandise imports),TM.VAL.MRCH.R4.ZS,NA,0.822723051664214
Albania,ALB,Merchandise imports from developing economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS,NA,0.464385413558205
Albania,ALB,Merchandise imports from developing economies in Sub-Saharan Africa (% of total merchandise imports),TM.VAL.MRCH.R6.ZS,NA,0.069086438804165
Albania,ALB,Merchandise imports from developing economies outside region (% of total merchandise imports),TM.VAL.MRCH.OR.ZS,NA,11.4634259397251
Albania,ALB,Merchandise imports from developing economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,NA,18.882852037386
Albania,ALB,Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS,NA,0.845120887426935
Albania,ALB,Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS,NA,69.0149409245103
Albania,ALB,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,NA,50.9338175334336
Albania,ALB,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,NA,91.3955431692
Albania,ALB,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,NA,1.4385541118951
Albania,ALB,New businesses registered (number),IC.BUS.NREG,NA,3005
Albania,ALB,Number of visits or required meetings with tax officials,IC.TAX.METG,NA,NA
Albania,ALB,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,NA,32.6331406667814
Albania,ALB,Ores and metals imports (% of merchandise imports),TM.VAL.MMTL.ZS.UN,NA,2.51803983973082
Albania,ALB,Other taxes payable by businesses (% of commercial profits),IC.TAX.OTHR.CP.ZS,NA,NA
