Country Name,Country Code,Indicator Name,Indicator Code,1980 [YR1980],2008 [YR2008]
Algeria,DZA,"Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)",IQ.WEF.PORT.XQ,NA,3.08483443336559
Algeria,DZA,Rail lines (total route-km),IS.RRS.TOTL.KM,3907,3572
Algeria,DZA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,2457.3,1562
Algeria,DZA,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,2070,937
Algeria,DZA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,NA,NA
Algeria,DZA,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,NA,NA
Algeria,DZA,Road density (km of road per 100 sq. km of land area),IS.ROD.DNST.K2,NA,5
Algeria,DZA,Road sector diesel fuel consumption (kt of oil equivalent),IS.ROD.DESL.KT,730,5853
Algeria,DZA,Road sector diesel fuel consumption per capita (kg of oil equivalent),IS.ROD.DESL.PC,37.4835611478062,163.833120641386
Algeria,DZA,Road sector energy consumption (% of total energy consumption),IS.ROD.ENGY.ZS,17.7452837157714,23.3347324113634
Algeria,DZA,Road sector energy consumption (kt of oil equivalent),IS.ROD.ENGY.KT,1989,8732.941
Algeria,DZA,Road sector energy consumption per capita (kg of oil equivalent),IS.ROD.ENGY.PC,102.129867291762,244.446433693338
Algeria,DZA,Road sector gasoline fuel consumption (kt of oil equivalent),IS.ROD.SGAS.KT,1153,2157
Algeria,DZA,Road sector gasoline fuel consumption per capita (kg of oil equivalent),IS.ROD.SGAS.PC,59.2034876759186,60.3772494829096
Algeria,DZA,"Roads, goods transported (million ton-km)",IS.ROD.GOOD.MT.K6,NA,1402
Algeria,DZA,"Roads, passengers carried (million passenger-km)",IS.ROD.PSGR.K6,NA,NA
Algeria,DZA,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,NA,73.46
Algeria,DZA,"Roads, total network (km)",IS.ROD.TOTL.KM,NA,111261
Algeria,DZA,Scientific and technical journal articles,IP.JRN.ARTC.SC,NA,536.6
Algeria,DZA,Secure Internet servers,IT.NET.SECR,NA,18
Algeria,DZA,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,NA,0.503843528369204
Algeria,DZA,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,NA,NA
Algeria,DZA,Telephone lines,IT.MLT.MAIN,311400,3069140
Algeria,DZA,Telephone lines (per 100 people),IT.MLT.MAIN.P2,1.59895629334614,8.59092403699477
Algeria,DZA,"Trademark applications, Madrid",IP.TMK.MDRD,NA,2489
Algeria,DZA,"Trademark applications, aggregate direct",IP.TMK.AGGD,NA,3621
Algeria,DZA,"Trademark applications, direct nonresident",IP.TMK.NRES,648,NA
Algeria,DZA,"Trademark applications, direct resident",IP.TMK.RESD,313,NA
Algeria,DZA,"Trademark applications, total",IP.TMK.TOTL,961,6110
Algeria,DZA,Vehicles (per km of road),IS.VEH.ROAD.K1,NA,33.2980033738252
American Samoa,ASM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,NA,NA
American Samoa,ASM,"Air transport, passengers carried",IS.AIR.PSGR,NA,NA
American Samoa,ASM,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,NA,NA
American Samoa,ASM,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",IQ.WEF.CUST.XQ,NA,NA
American Samoa,ASM,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,NA,NA
American Samoa,ASM,Fixed broadband Internet subscribers,IT.NET.BBND,NA,NA
American Samoa,ASM,Fixed broadband Internet subscribers (per 100 people),IT.NET.BBND.P2,NA,NA
American Samoa,ASM,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,NA,NA
American Samoa,ASM,High-technology exports (current US$),TX.VAL.TECH.CD,NA,NA
American Samoa,ASM,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,NA,NA
American Samoa,ASM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,NA,NA
American Samoa,ASM,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,NA,NA
American Samoa,ASM,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,NA,NA
American Samoa,ASM,Internet users (per 100 people),IT.NET.USER.P2,NA,NA
American Samoa,ASM,Liner shipping connectivity index (maximum value in 2004 = 100),IS.SHP.GCNW.XQ,NA,6.44
American Samoa,ASM,Mobile cellular subscriptions,IT.CEL.SETS,0,NA
American Samoa,ASM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,NA
American Samoa,ASM,"Motor vehicles (per 1,000 people)",IS.VEH.NVEH.P3,NA,NA
American Samoa,ASM,"Passenger cars (per 1,000 people)",IS.VEH.PCAR.P3,NA,NA
American Samoa,ASM,"Patent applications, nonresidents",IP.PAT.NRES,NA,NA
American Samoa,ASM,"Patent applications, residents",IP.PAT.RESD,NA,NA
American Samoa,ASM,Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,NA,NA
American Samoa,ASM,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,NA,NA
American Samoa,ASM,"Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)",IQ.WEF.PORT.XQ,NA,NA
American Samoa,ASM,Rail lines (total route-km),IS.RRS.TOTL.KM,NA,NA
American Samoa,ASM,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,NA,NA
American Samoa,ASM,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,NA,NA
American Samoa,ASM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,NA,NA
American Samoa,ASM,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,NA,NA
American Samoa,ASM,Road density (km of road per 100 sq. km of land area),IS.ROD.DNST.K2,NA,NA
American Samoa,ASM,Road sector diesel fuel consumption (kt of oil equivalent),IS.ROD.DESL.KT,NA,NA
American Samoa,ASM,Road sector diesel fuel consumption per capita (kg of oil equivalent),IS.ROD.DESL.PC,NA,NA
American Samoa,ASM,Road sector energy consumption (% of total energy consumption),IS.ROD.ENGY.ZS,NA,NA
American Samoa,ASM,Road sector energy consumption (kt of oil equivalent),IS.ROD.ENGY.KT,NA,NA
American Samoa,ASM,Road sector energy consumption per capita (kg of oil equivalent),IS.ROD.ENGY.PC,NA,NA
American Samoa,ASM,Road sector gasoline fuel consumption (kt of oil equivalent),IS.ROD.SGAS.KT,NA,NA
American Samoa,ASM,Road sector gasoline fuel consumption per capita (kg of oil equivalent),IS.ROD.SGAS.PC,NA,NA
American Samoa,ASM,"Roads, goods transported (million ton-km)",IS.ROD.GOOD.MT.K6,NA,NA
American Samoa,ASM,"Roads, passengers carried (million passenger-km)",IS.ROD.PSGR.K6,NA,NA
American Samoa,ASM,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,NA,NA
American Samoa,ASM,"Roads, total network (km)",IS.ROD.TOTL.KM,NA,NA
American Samoa,ASM,Scientific and technical journal articles,IP.JRN.ARTC.SC,NA,NA
American Samoa,ASM,Secure Internet servers,IT.NET.SECR,NA,NA
American Samoa,ASM,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,NA,NA
American Samoa,ASM,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,NA,NA
American Samoa,ASM,Telephone lines,IT.MLT.MAIN,NA,10400
American Samoa,ASM,Telephone lines (per 100 people),IT.MLT.MAIN.P2,NA,18.2286645750443
American Samoa,ASM,"Trademark applications, Madrid",IP.TMK.MDRD,NA,NA
American Samoa,ASM,"Trademark applications, aggregate direct",IP.TMK.AGGD,NA,NA
American Samoa,ASM,"Trademark applications, direct nonresident",IP.TMK.NRES,NA,NA
American Samoa,ASM,"Trademark applications, direct resident",IP.TMK.RESD,NA,NA
American Samoa,ASM,"Trademark applications, total",IP.TMK.TOTL,NA,NA
American Samoa,ASM,Vehicles (per km of road),IS.VEH.ROAD.K1,NA,NA
Andorra,ADO,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,NA,NA
Andorra,ADO,"Air transport, passengers carried",IS.AIR.PSGR,NA,NA
Andorra,ADO,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,NA,NA
Andorra,ADO,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",IQ.WEF.CUST.XQ,NA,NA
Andorra,ADO,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,NA,NA
Andorra,ADO,Fixed broadband Internet subscribers,IT.NET.BBND,NA,20672
Andorra,ADO,Fixed broadband Internet subscribers (per 100 people),IT.NET.BBND.P2,NA,25.8500168815416
Andorra,ADO,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,NA,NA
Andorra,ADO,High-technology exports (current US$),TX.VAL.TECH.CD,NA,NA
Andorra,ADO,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,NA,NA
Andorra,ADO,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,NA,NA
Andorra,ADO,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,NA,NA
Andorra,ADO,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,NA,NA
Andorra,ADO,Internet users (per 100 people),IT.NET.USER.P2,NA,70.04
Andorra,ADO,Liner shipping connectivity index (maximum value in 2004 = 100),IS.SHP.GCNW.XQ,NA,NA
Andorra,ADO,Mobile cellular subscriptions,IT.CEL.SETS,0,64202
Andorra,ADO,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,80.2836098988358
Andorra,ADO,"Motor vehicles (per 1,000 people)",IS.VEH.NVEH.P3,NA,NA
Andorra,ADO,"Passenger cars (per 1,000 people)",IS.VEH.PCAR.P3,NA,NA
Andorra,ADO,"Patent applications, nonresidents",IP.PAT.NRES,NA,NA
Andorra,ADO,"Patent applications, residents",IP.PAT.RESD,NA,NA
Andorra,ADO,Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,NA,1.06
Andorra,ADO,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,NA,1.24
Andorra,ADO,"Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)",IQ.WEF.PORT.XQ,NA,NA
Andorra,ADO,Rail lines (total route-km),IS.RRS.TOTL.KM,NA,NA
Andorra,ADO,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,NA,NA
Andorra,ADO,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,NA,NA
Andorra,ADO,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,NA,NA
Andorra,ADO,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,NA,NA
Andorra,ADO,Road density (km of road per 100 sq. km of land area),IS.ROD.DNST.K2,NA,NA
Andorra,ADO,Road sector diesel fuel consumption (kt of oil equivalent),IS.ROD.DESL.KT,NA,NA
Andorra,ADO,Road sector diesel fuel consumption per capita (kg of oil equivalent),IS.ROD.DESL.PC,NA,NA
Andorra,ADO,Road sector energy consumption (% of total energy consumption),IS.ROD.ENGY.ZS,NA,NA
Andorra,ADO,Road sector energy consumption (kt of oil equivalent),IS.ROD.ENGY.KT,NA,NA
Andorra,ADO,Road sector energy consumption per capita (kg of oil equivalent),IS.ROD.ENGY.PC,NA,NA
Andorra,ADO,Road sector gasoline fuel consumption (kt of oil equivalent),IS.ROD.SGAS.KT,NA,NA
Andorra,ADO,Road sector gasoline fuel consumption per capita (kg of oil equivalent),IS.ROD.SGAS.PC,NA,NA
Andorra,ADO,"Roads, goods transported (million ton-km)",IS.ROD.GOOD.MT.K6,NA,NA
Andorra,ADO,"Roads, passengers carried (million passenger-km)",IS.ROD.PSGR.K6,NA,NA
Andorra,ADO,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,NA,NA
Andorra,ADO,"Roads, total network (km)",IS.ROD.TOTL.KM,NA,NA
Andorra,ADO,Scientific and technical journal articles,IP.JRN.ARTC.SC,NA,0.1
Andorra,ADO,Secure Internet servers,IT.NET.SECR,NA,53
Andorra,ADO,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,NA,662.756818267078
Andorra,ADO,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,NA,NA
Andorra,ADO,Telephone lines,IT.MLT.MAIN,7026,37375
Andorra,ADO,Telephone lines (per 100 people),IT.MLT.MAIN.P2,19.4825721653773,46.7368605334567
Andorra,ADO,"Trademark applications, Madrid",IP.TMK.MDRD,NA,NA
Andorra,ADO,"Trademark applications, aggregate direct",IP.TMK.AGGD,NA,NA
Andorra,ADO,"Trademark applications, direct nonresident",IP.TMK.NRES,NA,696
Andorra,ADO,"Trademark applications, direct resident",IP.TMK.RESD,NA,325
Andorra,ADO,"Trademark applications, total",IP.TMK.TOTL,NA,1021
Andorra,ADO,Vehicles (per km of road),IS.VEH.ROAD.K1,NA,NA
