Country Name,Country Code,Indicator Name,Indicator Code,1980 [YR1980],2008 [YR2008]
American Samoa,ASM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,NA,NA
American Samoa,ASM,"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,NA,NA
American Samoa,ASM,Lending interest rate (%),FR.INR.LEND,NA,NA
American Samoa,ASM,Liquid liabilities (M3) as % of GDP,FS.LBL.LIQU.GD.ZS,NA,NA
American Samoa,ASM,"Listed domestic companies, total",CM.MKT.LDOM.NO,NA,NA
American Samoa,ASM,Market capitalization of listed companies (% of GDP),CM.MKT.LCAP.GD.ZS,NA,NA
American Samoa,ASM,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,NA,NA
American Samoa,ASM,Money (current LCU),FM.LBL.MONY.CN,NA,NA
American Samoa,ASM,Money and quasi money (M2) (current LCU),FM.LBL.MQMY.CN,NA,NA
American Samoa,ASM,Money and quasi money (M2) as % of GDP,FM.LBL.MQMY.GD.ZS,NA,NA
American Samoa,ASM,Money and quasi money (M2) to total reserves ratio,FM.LBL.MQMY.IR.ZS,NA,NA
American Samoa,ASM,Money and quasi money growth (annual %),FM.LBL.MQMY.ZG,NA,NA
American Samoa,ASM,Net domestic credit (current LCU),FM.AST.DOMS.CN,NA,NA
American Samoa,ASM,Net foreign assets (current LCU),FM.AST.NFRG.CN,NA,NA
American Samoa,ASM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,NA,NA
American Samoa,ASM,"Point-of-sale terminals (per 100,000 adults)",FB.POS.TOTL.P5,NA,NA
American Samoa,ASM,Quasi money (current LCU),FM.LBL.QMNY.CN,NA,NA
American Samoa,ASM,Quasi-liquid liabilities (% of GDP),FS.LBL.QLIQ.GD.ZS,NA,NA
American Samoa,ASM,Real effective exchange rate index (2005 = 100),PX.REX.REER,NA,NA
American Samoa,ASM,Real interest rate (%),FR.INR.RINR,NA,NA
American Samoa,ASM,"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,NA,NA
American Samoa,ASM,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,NA,NA
American Samoa,ASM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,NA,NA
American Samoa,ASM,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,NA,NA
American Samoa,ASM,"Stocks traded, turnover ratio (%)",CM.MKT.TRNR,NA,NA
American Samoa,ASM,Wholesale price index (2005 = 100),FP.WPI.TOTL,NA,NA
Andorra,ADO,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,NA,NA
Andorra,ADO,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,NA,NA
Andorra,ADO,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,NA,NA
Andorra,ADO,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,NA,NA
Andorra,ADO,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,NA,NA
Andorra,ADO,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,NA,NA
Andorra,ADO,Broad money (current LCU),FM.LBL.BMNY.CN,NA,NA
Andorra,ADO,Broad money growth (annual %),FM.LBL.BMNY.ZG,NA,NA
Andorra,ADO,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,NA,NA
Andorra,ADO,Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,NA,NA
Andorra,ADO,"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS,NA,NA
Andorra,ADO,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,NA,NA
Andorra,ADO,Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,NA,NA
Andorra,ADO,Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3,NA,NA
Andorra,ADO,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,NA,NA
Andorra,ADO,Consumer price index (2005 = 100),FP.CPI.TOTL,NA,NA
Andorra,ADO,DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,0.430937198237332,0.682674711239873
Andorra,ADO,Deposit interest rate (%),FR.INR.DPST,NA,NA
Andorra,ADO,"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3,NA,NA
Andorra,ADO,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,NA,NA
Andorra,ADO,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,NA,NA
Andorra,ADO,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,NA,NA
